http://www.aibl.fr/membres/academiciens-depuis-1663/;;;;;;;;;;
;;;;;;;;;;
"de 1663 à 1701 : une seule catégorie, celle de membre (M) ;";;;;;;;;;;
"de 1701 à 1793 : ont été retenues les catégories de membres honoraire (H), pensionnaire (P) et d’associé libre (AL) ; les deux premières correspondent à celles des membres actuels, la dernière à celle des associés étrangers ;";;;;;;;;;;
"de 1795 à 1816 : les différentes catégories de membres ont été fondues ensemble (M) ; s’y ajoutent des associés étrangers (AE) ;";;;;;;;;;;
"de 1816 à 1999 : trois catégories de membres : membre ordinaire (O), membre libre (L) et associé étranger (AE) ;";;;;;;;;;;
depuis 1999 : une seule catégorie, celle de membre (M), à laquelle s’adjoignent des associés étrangers (AE).;;;;;;;;;;
;;;;;;;;;;
FullName;VIAF Number;Pseudonym (dit);;;;;;;;
 BENOIST, Louis-Eugène ;;;1831;O;1884;1887;;;;
 BENOIT, Fernand, Marie, Louis, Alphonse ;;;1892;L;1958;1969;;;;
 BENVENISTE, Émile ;;;1902;O;1960;1976;;;;
 BERCÉ, Yves-Marie ;;;1936;2007);;;;;;
 BERCY, Charles-Henri de Malon de ;;;1678;H;1714;1742;;;;
 BERGAIGNE Abel-Henri-Joseph ;;;1838;O;1885;1888;;;;
 BERGER, Élie ;;;1850;O;1905;1925;;;;
 BERGER, Philippe ;;;1846;O;1892;1912;;;;
 BERGER de XIVREY, Jules ;;;1801;O;1839;1863;;;;
 BERINGHEN, Jacques-Louis, marquis de ;;;1651;H;1701;1723;;;;
 BERNARD, Paul ;;;1929;O;1992;;;;;
 BERNARDI, Joseph-Éléazar-Dominique ;;;1751;M;1812;1824;;;;
 BERNIS, François-Joachim de Pierres, cardinal de ;;;1715;H;1770;1794;;;;
 BERTIN, Henri-Léonard-Jean-Baptiste ;;;1719;H;1772;1792;;;;
 BERTRAND, Alexandre, Louis, Joseph ;;;1820;O;1881;1902;;;;
 BESCHAOUCH, Azedine ;;;1938;Associés étrangers;1997;;;;;
 BETENCOURT, l’abbé Louis-Pierre-Joseph ;;;1743;L;1816;1829;;;;
 BEUGNOT, Auguste-Arthur, comte de ;;;1797;O;1832;1865;;;;
 BEULÉ, Charles-Ernest ;;;1826;O;1860;1874;;;;
 BIDEZ, Joseph, Marie, Auguste ;;;1867;Associés étrangers;1936;1945;;;;
 BIETAK, Manfred ;;;1940;Associés étrangers;2010;;;;;
 BIGNON, Armand-Jérôme ;;;1711;H;1751;1772;;;;
 BIGNON, l’abbé Jean-Paul ;;;1662;H;1701;1743;;;;
 BIGNON, Jérôme ;;;1657;H;1709;1725;;;;
 BIGNON, Jérôme-Frédéric ;;;1747;H;1781;1784;;;;
 BIGNON de BLANZY, Jérôme ;;;1688;H;1742;1743;;;;
 BINGEN, Jean, François, Henri, Emmanuel ;;;1920;Associés étrangers;1999;2012;;;;
 BIOT, Édouard-Constant ;;;1803;O;1847;1850;;;;
 BIOT, Jean-Baptiste ;;;1774;L;1841;1862;;;;
 BISCHOFF, Bernhard ;;;1906;Associés étrangers;1973;1991;;;;
 BITAUBÉ, Paulus-Jérémias ;;;1732;Associés libres;"1786 ;";M;1795;1808;;
 BITTEL, Kurt ;;;1907;Associés étrangers;1981;1991;;;;
 BLACAS d’AULPS, Pierre-Louis-Jean-Casimir, duc de ;;;1771;L;1816;1839;;;;
 BLACHÈRE, Régis ;;;1900;O;1972;1973;;;;
 BLANCHARD, Élie, chanoine ;;;1672;Pensionnaire;1726;1756;;;;
 BLANCHET, Adrien ;;;1866;L;1919;1957;;;;
 BLOCH, Raymond, Moïse, Arnold, Alphonse ;;;1914;O;1982;1997;;;;
 BOARDMAN, Sir John ;;;1927;Associés étrangers;1991;;;;;
 BOECKH, Auguste ;;;1785;Associés étrangers;1831;1867;;;;
 BOETTIGER, Carl-August ;;;1760;Associés étrangers;1833;1835;;;;
 BOILEAU-DESPRÉAUX, Nicolas ;;;1636;M;1683;1711;;;;
 BOISLISLE, Arthur, André, Michel, Gabriel de ;;;1835;L;1884;1908;;;;
 BOISSIER, Gaston, Marie-Louis, Antoine ;;;1823;O;1886;1908;;;;
 BOISSONNADE de FONTARABIE, Jean-François ;;;1774;M;1813;1857;;;;
 BOISSY d’ANGLAS, François-Antoine, comte de ;;;1756;M;1804;1826;;;;
 BOIVIN l’aîné, Louis ;;;1649;Pensionnaire;1722;1724;;;;
 BOIVIN le cadet, ou BOIVIN de VILLENEUVE, Jean ;;;1663;Pensionnaire;1724;1726;;;;
 BOLELLI, Tristano ;;;1913;Associés étrangers;1998;2001;;;;
 BON de SAINT-HILAIRE, François-Xavier ;;;1678;Associés libres;1750;1761;;;;
 BONAMY, Pierre-Nicolas ;;;1694;Pensionnaire;1749;1770;;;;
 BONAPARTE, Joseph ;;;1768;M;1803;1844;;;;
 BONGARD-LÉVINE, Grigori ;;;1933;Associés étrangers;1999;2008;;;;
 BONNET, Charles-André ;;;1933;Associés étrangers;1997;;;;;
 BOPP, Franz ;;;1791;Associés étrangers;1857;1867;;;;
 BORGHESI, Bartolomeo, comte de ;;;1781;Associés étrangers;1859;1860;;;;
 BOSSUAT, Robert, Émile, Étienne ;;;1888;O;1962;1968;;;;
 BOTHMER, Dietrich, Felix von ;;;1918;Associés étrangers;1997;2009;;;;
 BOÜARD de LAFOREST, Jean, Marie, Sébastien, Michel de ;;;1909;L;1973;1989;;;;
 BOUCHAUD, Mathieu-Antoine ;;;1719;Pensionnaire;1786;1804;;;;
 BOUCHÉ-LECLERCQ, Louis, Auguste, Thomas ;;;1842;O;1898;1923;;;;
 BOUGAINVILLE, Jean-Pierre de ;;;1722;Pensionnaire;1762;1763;;;;
 BOURZEIS, l’abbé Amable de ;;;1606;M;1663;1672;;;;
 BOUTARD, l’abbé François ;;;1664;Pensionnaire;1701;1729;;;;
 BOUTARIC, Paul-Edgard ;;;1829;O;1876;1877;;;;
