Last Name, First Name;Last Name;First Name;Wikipedia Name;Birth Dates;Death Dates;Website;Website;VIAF ID;Membership (s);Membership (s) (cont.);Membership (s) (cont.);Membership (s) (cont.)
Ludolf,  Job;Ludolf; Job; Job Ludolf;1624;1704;http://viaf.org/viaf/7400281;http://viaf.org/viaf/;7400281;AM 12.10.1701 ;;;
Rabener,  Johann Gebhard;Rabener; Johann Gebhard; Johann Gebhard Rabener;1632;1701;http://viaf.org/viaf/6026645;http://viaf.org/viaf/;6026645;OM 06.12.1700 ;;;
Ramazzini,  Bernardino;Ramazzini; Bernardino; Bernardino Ramazzini;1633;1714;http://viaf.org/viaf/19716760;http://viaf.org/viaf/;19716760;AM 09.26.1707 ;;;
Reyher,  Samuel;Reyher; Samuel; Samuel Reyher;1635;1714;http://viaf.org/viaf/27822746;http://viaf.org/viaf/;27822746;AM 09.26.1702 ;;;
Werner,  Joseph;Werner; Joseph; Joseph Werner;1637;1710;http://viaf.org/viaf/10641779;http://viaf.org/viaf/;10641779;OM 12.10.1701 ;;;
Eimmart,  Georg Christoph;Eimmart; Georg Christoph; Georg Christoph Eimmart;1638;1705;http://viaf.org/viaf/2604336;http://viaf.org/viaf/;2604336;AM 04.08.1701 ;;;
Cellarius,  Christoph;Cellarius; Christoph; Christoph Cellarius;1638;1707;http://viaf.org/viaf/17233318;http://viaf.org/viaf/;17233318;AM 01.12.1701 ;;;
Kirsch,  Gottfried;Kirch; Gottfried; Gottfried Kirch;1639;1710;http://viaf.org/viaf/39675309;http://viaf.org/viaf/;39675309;OM 11.07.1700 ;;;
Muller,  Philipp;Muller; Philipp; Philipp Muller;1640;1713;http://viaf.org/viaf/59865901;http://viaf.org/viaf/;59865901;AM 03.11.1701 ;;;
Chauvin,  Etienne;Chauvin; Etienne; Etienne Chauvin;1640;1725;http://viaf.org/viaf/12463120;http://viaf.org/viaf/;12463120;OM 11.03.1701 ;;;
Becman,  Johann Christoph;Becman; Johann Christoph; Johann Christoph Becman;1641;1717;http://viaf.org/viaf/61825477;http://viaf.org/viaf/;61825477;AM 03.11.1701 ;;;
Fabricius,  Johann;Fabricius; Johann; Johann Fabricius;1644;1729;http://viaf.org/viaf/41863433;http://viaf.org/viaf/;41863433;AM 03.11.1701 ;;;
Romans,  Ole;Romans; Ole; Ole Romans;1644;1710;http://viaf.org/viaf/no ID found;http://viaf.org/viaf/;no ID found;AM 12.30.1701 ;;;
Wegner,  Gottfried;Wegner; Gottfried; Gottfried Wegner;1644;1709;http://viaf.org/viaf/67335847;http://viaf.org/viaf/;67335847;AM 09.05.1707 ;;;
Cuper,  Gisbert;Cuper; Gisbert; Gisbert Cuper;1644;1716;http://viaf.org/viaf/88684229;http://viaf.org/viaf/;88684229;AM 08.01.1711 ;;;
Wedel,  Georg Wolfgang;Wedel; Georg Wolfgang; Georg Wolfgang Wedel;1645;1721;http://viaf.org/viaf/69164343;http://viaf.org/viaf/;69164343;AM 12.06.1706 ;;;
Leibniz,  Gottfried Wilhelm Freiherr von;Leibniz; Gottfried Wilhelm Freiherr von; Gottfried Wilhelm Freiherr von Leibniz;1646;1716;http://viaf.org/viaf/9849392;http://viaf.org/viaf/;9849392;OM 12.07.1700 ;;;
Meier,  Gerhard;Meier; Gerhard; Gerhard Meier;1646;1703;http://viaf.org/viaf/40158766;http://viaf.org/viaf/;40158766;AM 03.11.1701 ;;;
Papin,  Denis;Papin; Denis; Denis Papin;1647;1714;http://viaf.org/viaf/100307263;http://viaf.org/viaf/;100307263;AM 05.04.1707 ;;;
Hartmann,  Philipp Jakob;Hartmann; Philipp Jakob; Philipp Jakob Hartmann;1648;1707;http://viaf.org/viaf/13244783;http://viaf.org/viaf/;13244783;AM 11.07.1701 ;;;
Neumann,  Kaspar;Neumann; Kaspar; Kaspar Neumann;1648;1715;http://viaf.org/viaf/64802676;http://viaf.org/viaf/;64802676;AM 12.06.1706 ;;;
